age,gender,height_cm,weight_kg,bmi,training_hours_per_week,resting_heart_rate,vo2max,reaction_time_ms,sleep_hours,flexibility_score,performance_score,performance_level
34,Male,183.3,79.9,23.8,1.1,74.1,38.3,281.6,6.2,28.1,20.5,Beginner
36,Female,177.6,66.2,21.0,4.9,57.1,55.7,302.5,7.2,25.8,51.5,Intermediate
33,Female,155.5,50.8,21.0,5.6,57.3,36.7,269.1,5.8,22.8,34.3,Intermediate
28,Male,164.8,75.2,27.7,11.9,64.0,62.1,248.7,6.7,39.0,62.7,Advanced
34,Female,152.7,84.0,36.0,19.2,63.4,66.9,238.0,7.6,36.4,68.6,Advanced
33,Male,181.4,75.5,22.9,4.9,73.2,50.4,273.3,6.1,32.1,40.2,Intermediate
17,Female,202.1,80.2,19.6,6.2,49.8,44.9,203.1,8.2,32.3,59.6,Advanced
35,Female,159.3,59.9,23.6,10.9,53.1,43.0,241.4,6.0,26.7,49.3,Intermediate
28,Male,185.7,74.0,21.5,10.5,72.0,43.4,224.6,8.6,49.2,61.9,Advanced
37,Female,185.9,77.0,22.3,5.1,53.8,34.0,252.5,8.6,24.1,39.0,Intermediate
25,Female,176.9,69.4,22.2,9.9,60.9,27.7,179.6,4.8,35.4,38.2,Intermediate
32,Male,161.3,55.0,21.1,15.5,51.9,49.7,282.0,8.3,27.7,71.0,Advanced
33,Male,166.3,71.3,25.8,2.1,58.2,48.9,250.4,7.1,41.5,41.8,Intermediate
38,Male,154.8,86.4,36.1,7.1,40.5,37.4,239.4,7.2,22.5,25.0,Intermediate
19,Female,173.7,64.1,21.2,7.7,66.8,42.5,283.4,5.5,30.5,40.6,Intermediate
19,Male,177.2,95.6,30.4,14.9,44.8,49.7,272.5,8.6,18.1,55.9,Advanced
27,Male,183.2,67.8,20.2,9.7,59.7,58.8,279.8,6.8,18.7,60.2,Advanced
37,Male,173.0,74.4,24.9,6.3,52.0,37.9,346.1,7.8,25.1,34.3,Intermediate
23,Male,166.5,57.8,20.8,1.5,67.5,20.0,326.5,5.8,27.0,9.4,Beginner
25,Male,168.1,44.0,15.6,5.2,62.3,34.5,274.6,4.0,20.7,32.8,Intermediate
18,Male,173.7,80.9,26.8,4.9,46.4,34.4,247.0,7.1,37.9,36.1,Intermediate
19,Male,178.0,77.3,24.4,3.2,54.7,47.9,285.0,7.4,32.4,41.8,Intermediate
27,Male,188.9,35.5,9.9,4.2,53.0,28.4,304.0,5.6,43.8,48.9,Intermediate
19,Female,195.5,67.3,17.6,9.7,60.6,51.7,301.4,7.3,36.0,64.7,Advanced
35,Male,174.9,65.1,21.3,7.7,49.3,58.2,309.8,6.1,19.8,55.0,Intermediate
22,Male,164.2,80.6,29.9,4.2,62.1,45.4,247.3,5.1,29.8,25.8,Intermediate
25,Male,187.3,78.4,22.3,7.1,64.4,43.9,230.8,7.8,31.8,48.9,Intermediate
39,Female,200.6,58.4,14.5,9.0,58.2,48.2,325.5,7.5,35.7,65.3,Advanced
30,Female,167.5,81.7,29.1,4.4,68.3,44.5,242.6,5.5,28.9,25.6,Intermediate
22,Male,170.0,69.5,24.0,4.6,44.9,52.7,293.0,6.2,35.3,49.4,Intermediate
35,Male,173.8,71.2,23.6,9.3,51.3,44.4,315.4,5.7,21.0,41.6,Intermediate
22,Male,175.2,75.5,24.6,9.7,65.3,40.0,254.8,9.4,26.4,47.4,Intermediate
28,Female,168.2,80.3,28.4,5.1,73.1,47.7,266.7,7.3,36.6,35.1,Intermediate
38,Male,161.1,48.9,18.8,7.7,51.3,48.6,249.8,9.6,34.8,68.1,Advanced
22,Male,181.1,59.1,18.0,10.8,74.4,45.0,257.6,6.7,21.1,51.3,Intermediate
33,Male,173.6,53.6,17.8,9.9,70.4,32.3,222.8,6.6,41.8,50.3,Intermediate
30,Female,186.3,76.6,22.1,2.7,70.4,38.9,305.2,5.6,37.3,28.2,Intermediate
26,Male,180.4,97.0,29.8,7.1,66.4,56.1,187.1,8.7,23.1,48.1,Intermediate
19,Male,185.2,56.7,16.5,5.6,58.2,42.6,304.9,6.8,15.2,43.6,Intermediate
36,Male,175.6,60.0,19.5,5.2,57.5,45.4,260.2,6.5,26.4,46.5,Intermediate
19,Female,182.0,78.7,23.8,4.8,75.4,38.3,332.4,7.1,15.0,21.4,Beginner
17,Male,167.7,83.9,29.8,1.7,67.6,44.9,169.6,6.3,32.8,27.7,Intermediate
31,Male,180.0,76.3,23.5,16.9,63.1,52.1,279.9,6.7,30.3,65.1,Advanced
29,Female,185.1,73.8,21.5,7.8,71.5,40.3,221.7,6.2,27.6,40.9,Intermediate
32,Female,188.3,52.6,14.8,13.2,54.4,65.2,245.4,8.0,32.0,91.1,Elite
21,Female,172.1,66.0,22.3,8.7,56.0,49.8,273.2,7.5,35.4,57.5,Advanced
24,Male,181.0,69.1,21.1,0.0,63.0,41.9,255.9,8.1,21.6,33.1,Intermediate
29,Male,188.1,90.9,25.7,9.6,63.6,57.8,272.2,5.6,32.8,52.1,Intermediate
38,Female,159.4,68.6,27.0,16.2,52.9,54.9,254.3,6.2,35.0,65.9,Advanced
30,Female,171.4,68.7,23.4,8.0,55.4,47.8,245.9,5.9,33.9,49.9,Intermediate
31,Female,180.9,67.4,20.6,6.0,70.1,38.2,281.6,5.3,33.4,34.7,Intermediate
24,Male,172.2,57.1,19.3,6.2,51.6,24.8,221.3,7.0,35.5,40.4,Intermediate
29,Female,168.5,94.3,33.2,7.0,55.2,53.2,244.8,7.2,27.6,38.8,Intermediate
33,Male,179.4,60.0,18.6,13.7,57.9,54.0,225.5,10.0,33.2,82.6,Elite
16,Female,170.4,58.8,20.3,5.9,79.4,40.4,208.9,7.0,24.4,38.6,Intermediate
19,Female,175.8,74.0,23.9,3.1,63.6,49.7,253.7,8.5,20.9,41.1,Intermediate
17,Male,159.6,59.2,23.2,10.0,51.4,45.9,301.7,6.8,35.0,53.3,Intermediate
35,Female,170.4,75.0,25.8,14.3,42.3,55.4,203.4,8.8,36.5,78.1,Advanced
20,Female,177.9,87.1,27.5,3.0,48.7,43.9,185.9,6.1,29.8,36.2,Intermediate
23,Male,174.1,55.6,18.3,17.6,59.5,58.1,174.8,7.7,42.8,92.8,Elite
22,Female,174.7,65.7,21.5,6.3,56.8,42.8,196.8,9.5,56.7,65.7,Advanced
17,Male,178.3,64.0,20.1,13.9,50.0,47.8,260.1,8.5,31.1,71.8,Advanced
36,Male,186.1,73.4,21.2,9.1,56.2,41.2,226.6,4.4,26.0,43.8,Intermediate
28,Male,172.7,79.4,26.6,11.5,53.1,42.5,305.4,5.6,29.6,42.1,Intermediate
19,Male,174.9,57.8,18.9,9.5,45.9,50.6,321.5,6.3,22.2,57.5,Advanced
28,Male,175.9,70.5,22.8,7.5,64.7,43.5,236.3,7.1,25.1,43.9,Intermediate
35,Female,170.3,63.3,21.8,0.0,65.7,42.5,264.0,6.5,25.4,28.5,Intermediate
23,Male,167.3,73.9,26.4,0.0,74.9,28.0,308.5,5.7,26.1,2.7,Beginner
22,Male,183.6,58.3,17.3,8.7,65.0,49.2,258.1,7.0,27.8,58.4,Advanced
22,Male,163.5,68.4,25.6,7.1,49.4,46.2,265.4,6.5,28.9,44.4,Intermediate
29,Male,181.1,78.6,24.0,10.4,50.6,48.3,277.6,7.2,21.6,52.3,Intermediate
28,Female,173.0,69.4,23.2,1.0,71.8,48.2,190.2,8.8,27.4,41.2,Intermediate
36,Male,171.7,78.5,26.6,5.2,64.1,41.8,195.2,5.8,29.6,33.4,Intermediate
20,Male,178.4,67.8,21.3,7.2,62.5,42.3,204.2,5.3,30.8,44.5,Intermediate
39,Female,179.9,80.1,24.7,12.5,41.8,49.3,255.7,6.0,25.2,57.9,Advanced
32,Female,164.7,56.8,20.9,11.8,56.6,53.8,247.3,7.9,21.8,65.4,Advanced
16,Male,174.8,58.7,19.2,2.2,71.0,35.7,251.6,6.4,22.9,28.5,Intermediate
24,Female,170.7,90.1,30.9,4.1,50.0,38.8,298.6,5.2,33.8,21.8,Beginner
36,Female,167.7,70.8,25.2,9.7,66.0,52.4,210.2,7.8,23.5,53.3,Intermediate
29,Female,154.2,89.6,37.7,9.1,61.4,50.9,221.7,5.3,42.0,33.4,Intermediate
29,Female,183.6,86.6,25.7,9.1,44.9,46.6,234.2,7.3,47.3,59.9,Advanced
24,Male,184.0,73.4,21.7,13.9,58.3,35.0,264.8,7.2,34.0,53.8,Intermediate
30,Male,163.4,57.1,21.4,9.9,52.9,43.3,330.8,6.7,27.3,48.7,Intermediate
22,Female,174.0,77.9,25.7,11.1,54.1,47.7,226.0,6.4,27.4,52.0,Intermediate
17,Male,162.8,62.1,23.4,11.6,61.3,46.0,278.8,6.3,22.9,48.1,Intermediate
22,Male,171.5,62.8,21.4,6.4,52.3,33.1,244.7,6.9,27.0,39.5,Intermediate
24,Female,168.7,58.9,20.7,2.5,64.4,34.1,296.2,7.6,33.1,32.1,Intermediate
39,Female,188.6,66.8,18.8,15.9,53.1,42.4,262.5,7.9,28.4,69.2,Advanced
26,Female,161.4,67.9,26.1,8.9,50.8,55.4,321.3,8.3,23.2,53.4,Intermediate
28,Female,157.2,62.1,25.1,5.0,51.3,49.8,202.4,6.0,15.3,40.8,Intermediate
28,Female,171.5,52.3,17.8,4.6,66.7,46.9,255.7,7.7,39.1,54.3,Intermediate
26,Male,172.1,68.5,23.1,11.1,57.8,50.9,222.3,9.6,41.1,70.9,Advanced
33,Female,194.7,53.7,14.2,1.5,67.0,35.7,294.7,6.9,5.0,28.6,Intermediate
23,Male,167.4,76.2,27.2,0.0,75.8,20.7,235.5,6.6,33.8,4.3,Beginner
29,Female,189.8,61.1,17.0,3.9,66.2,43.7,293.5,6.7,15.1,38.5,Intermediate
28,Male,180.1,48.1,14.8,17.1,63.5,55.5,222.3,7.9,26.4,85.9,Elite
17,Female,191.6,54.9,15.0,11.6,61.6,42.7,323.9,5.5,31.3,56.8,Advanced
39,Female,177.8,70.2,22.2,12.3,47.4,29.6,306.7,6.7,37.9,47.5,Intermediate
25,Female,158.9,74.5,29.5,6.8,59.1,34.9,256.3,7.3,29.0,28.3,Intermediate
30,Male,165.8,73.4,26.7,9.8,45.5,34.4,246.8,8.4,30.3,45.5,Intermediate
39,Female,180.5,55.5,17.0,9.2,53.0,49.7,257.9,6.9,36.5,67.0,Advanced
17,Male,166.2,81.0,29.3,7.4,68.4,64.6,272.4,6.5,46.4,54.1,Intermediate
19,Female,198.9,82.8,20.9,7.8,64.4,29.3,280.9,6.2,15.4,27.7,Intermediate
33,Male,156.7,80.3,32.7,7.3,60.5,38.7,229.6,5.8,24.6,22.8,Beginner
30,Female,168.7,79.6,28.0,6.2,69.8,38.8,337.3,7.4,27.5,24.7,Beginner
39,Male,179.7,71.6,22.2,8.1,67.4,46.2,234.2,7.6,26.3,49.0,Intermediate
21,Male,175.2,77.6,25.3,5.8,55.7,49.6,241.4,5.4,32.8,43.2,Intermediate
17,Female,170.3,87.0,30.0,7.0,66.2,46.8,220.8,9.1,13.3,35.9,Intermediate
34,Female,189.5,71.9,20.0,5.9,47.0,38.7,285.7,7.8,39.5,51.8,Intermediate
21,Male,175.8,67.3,21.8,6.5,57.0,42.4,220.7,5.7,28.5,43.7,Intermediate
18,Female,185.8,61.5,17.8,10.2,61.4,46.6,233.9,6.9,42.8,65.8,Advanced
34,Male,170.8,54.3,18.6,11.9,55.1,43.5,263.1,7.2,37.7,64.4,Advanced
30,Male,185.4,91.0,26.5,7.0,66.4,36.4,202.1,7.2,29.7,34.8,Intermediate
29,Female,177.3,74.0,23.5,9.8,62.4,40.6,274.0,6.3,37.1,45.6,Intermediate
19,Female,158.8,90.6,35.9,9.1,61.7,42.1,222.6,8.5,33.1,33.8,Intermediate
34,Male,162.9,80.0,30.1,9.9,66.7,45.1,343.7,7.5,30.6,35.1,Intermediate
30,Female,186.3,78.4,22.6,8.1,58.9,47.2,250.3,9.5,25.7,55.8,Advanced
38,Male,175.0,90.6,29.6,7.0,72.7,58.5,223.9,7.2,34.3,46.5,Intermediate
39,Female,186.5,70.6,20.3,6.5,67.8,57.0,214.7,6.1,32.9,57.2,Advanced
25,Male,182.3,64.9,19.5,7.5,70.9,40.4,236.0,5.6,33.2,43.5,Intermediate
33,Female,163.8,56.8,21.2,8.0,66.1,38.9,226.1,4.5,35.1,40.5,Intermediate
19,Female,163.1,60.3,22.7,3.0,47.7,37.4,223.2,7.9,10.6,34.2,Intermediate
27,Male,174.0,55.7,18.4,5.1,65.2,34.7,252.4,7.7,37.4,44.4,Intermediate
27,Female,176.7,67.3,21.6,1.7,65.2,48.5,272.5,6.3,32.3,38.3,Intermediate
26,Male,168.0,51.7,18.3,4.4,63.3,42.0,202.8,6.4,23.8,44.1,Intermediate
19,Male,180.1,50.4,15.5,8.4,56.2,39.3,250.7,5.9,37.8,56.7,Advanced
29,Female,172.9,46.7,15.6,9.8,77.1,38.0,224.0,7.8,37.4,57.3,Advanced
39,Female,167.4,62.0,22.1,0.7,75.6,52.1,283.7,7.4,17.6,32.2,Intermediate
30,Male,177.6,67.1,21.3,11.2,54.3,63.6,232.8,8.9,39.4,82.2,Elite
19,Male,168.6,46.5,16.4,10.1,46.8,51.9,181.8,8.3,32.9,79.4,Advanced
19,Male,160.5,63.1,24.5,18.4,43.6,42.0,221.2,7.4,20.7,65.6,Advanced
30,Male,190.7,88.1,24.2,13.2,66.4,44.2,294.5,6.5,23.3,46.4,Intermediate
37,Male,155.3,85.9,35.6,1.9,56.0,42.9,329.0,7.5,26.9,14.0,Beginner
38,Female,158.4,71.8,28.6,5.9,66.3,42.7,245.3,9.0,39.5,40.9,Intermediate
32,Male,183.3,64.1,19.1,17.8,53.8,58.0,224.9,5.6,43.4,85.9,Elite
39,Male,177.6,57.8,18.3,0.0,69.1,33.8,305.2,5.7,32.8,24.2,Beginner
39,Male,169.3,68.2,23.8,10.3,59.0,47.2,168.9,7.2,31.8,58.2,Advanced
20,Female,194.4,68.9,18.2,14.4,53.9,53.0,222.4,9.3,26.7,80.9,Advanced
20,Male,171.1,80.7,27.6,11.5,66.4,34.5,225.4,7.9,24.2,37.9,Intermediate
21,Female,173.9,76.1,25.2,7.2,66.9,47.7,271.7,6.8,33.2,42.8,Intermediate
32,Male,175.2,71.3,23.2,11.3,61.3,56.2,191.8,5.5,32.8,62.2,Advanced
25,Male,181.1,69.4,21.2,10.1,63.4,52.3,213.2,7.6,27.7,61.7,Advanced
18,Female,181.9,59.4,18.0,7.0,59.1,44.8,231.2,7.0,36.5,57.4,Advanced
21,Male,188.6,41.3,11.6,10.4,51.3,38.7,221.1,6.5,25.6,65.7,Advanced
17,Female,170.3,77.8,26.8,7.0,64.3,42.9,202.6,6.2,27.1,36.7,Intermediate
21,Female,174.5,62.0,20.4,12.9,59.8,35.1,258.8,6.7,45.6,57.0,Advanced
25,Male,172.0,80.9,27.3,10.0,49.9,52.3,295.1,5.1,21.6,43.7,Intermediate
31,Male,161.7,66.2,25.3,5.9,65.4,57.2,305.7,7.7,42.2,52.4,Intermediate
18,Female,171.7,67.8,23.0,11.4,63.0,37.5,260.4,5.4,36.9,44.7,Intermediate
26,Male,178.3,60.8,19.1,1.8,58.4,34.7,339.2,6.7,30.5,30.3,Intermediate
20,Male,176.1,85.2,27.5,6.5,70.5,40.9,318.0,7.4,32.6,30.4,Intermediate
19,Male,189.3,71.3,19.9,17.4,57.2,64.7,142.3,4.7,38.6,88.5,Elite
32,Female,177.0,55.9,17.8,8.7,49.4,48.7,223.0,7.6,33.5,67.7,Advanced
19,Male,165.1,63.8,23.4,10.1,60.2,57.4,226.5,7.0,33.2,63.3,Advanced
39,Male,169.8,51.7,17.9,9.2,67.8,44.1,287.2,6.9,27.2,51.3,Intermediate
39,Female,166.8,69.7,25.1,6.8,63.2,51.6,242.9,10.0,32.5,56.1,Advanced
18,Male,169.0,53.3,18.7,6.2,55.2,47.0,266.6,5.8,30.8,50.9,Intermediate
21,Male,174.1,51.7,17.1,5.3,61.2,44.7,265.6,7.5,47.1,58.5,Advanced
33,Female,182.6,94.3,28.3,11.0,59.8,45.5,187.3,6.0,30.3,46.3,Intermediate
39,Female,183.6,95.3,28.3,6.2,53.4,38.8,186.5,7.9,30.2,39.6,Intermediate
37,Male,165.9,69.6,25.3,10.8,40.0,37.9,277.9,6.9,36.5,50.7,Intermediate
33,Female,179.2,84.2,26.2,14.0,76.8,58.1,197.7,7.3,28.6,61.6,Advanced
18,Male,174.3,63.6,20.9,8.5,60.9,37.8,254.7,6.7,23.8,42.6,Intermediate
29,Female,171.5,62.7,21.3,7.5,63.2,34.1,240.2,6.8,41.1,44.0,Intermediate
26,Male,168.3,76.7,27.1,7.5,56.1,49.4,208.5,7.4,29.8,48.8,Intermediate
24,Male,167.6,78.7,28.0,6.1,61.0,42.0,260.6,8.0,37.6,39.2,Intermediate
37,Male,169.7,68.7,23.9,6.3,71.6,23.6,305.8,4.8,38.4,17.2,Beginner
16,Male,185.4,85.5,24.9,10.5,62.6,53.5,211.7,6.5,21.6,53.0,Intermediate
19,Male,184.4,87.5,25.7,4.0,51.7,34.3,160.6,5.9,23.3,30.4,Intermediate
19,Male,183.3,81.7,24.3,10.3,74.5,42.9,286.2,5.8,10.4,31.4,Intermediate
35,Female,152.3,69.7,30.0,4.5,61.3,49.6,265.7,9.1,24.9,37.4,Intermediate
17,Female,187.4,90.5,25.8,8.3,56.7,35.4,290.7,8.3,18.1,34.4,Intermediate
23,Female,178.0,85.9,27.1,0.0,61.0,35.0,297.4,6.0,29.0,14.2,Beginner
22,Male,183.7,64.6,19.1,11.3,54.4,39.3,228.9,7.3,31.5,59.2,Advanced
19,Female,173.3,72.9,24.3,15.1,54.7,67.0,224.9,6.9,21.5,75.6,Advanced
17,Male,176.8,72.7,23.3,5.7,70.2,41.9,266.3,6.1,35.7,36.7,Intermediate
23,Female,188.3,41.2,11.6,6.8,63.3,52.3,262.8,6.2,39.1,68.7,Advanced
34,Female,185.1,64.6,18.9,9.8,64.7,54.8,246.5,6.6,33.0,64.0,Advanced
22,Male,165.7,72.4,26.4,14.5,60.8,66.9,267.7,9.7,16.0,72.3,Advanced
21,Male,167.1,77.5,27.8,11.1,74.9,35.2,163.3,10.0,40.5,49.4,Intermediate
25,Female,179.5,83.3,25.9,2.4,54.8,45.7,196.3,8.3,23.6,40.0,Intermediate
24,Female,177.0,75.1,24.0,7.9,63.1,46.5,211.7,7.5,36.3,52.1,Intermediate
25,Female,166.1,57.3,20.8,13.2,65.8,66.9,272.6,5.5,36.5,73.4,Advanced
20,Female,174.4,68.2,22.4,14.5,58.0,43.4,218.4,8.2,34.5,65.8,Advanced
39,Female,168.2,91.9,32.5,9.0,53.0,58.2,277.1,5.1,29.0,41.5,Intermediate
24,Female,180.8,87.6,26.8,7.5,55.8,39.7,212.2,6.7,33.1,40.8,Intermediate
37,Female,197.7,66.1,16.9,8.3,53.7,42.2,268.6,9.8,50.9,71.5,Advanced
34,Female,165.9,68.8,25.0,8.9,63.4,48.8,315.1,9.8,13.4,46.2,Intermediate
20,Male,179.4,78.4,24.4,9.0,47.2,45.9,220.8,8.0,41.3,60.7,Advanced
28,Female,179.2,58.7,18.3,5.5,70.8,42.9,294.5,5.9,32.4,41.4,Intermediate
19,Female,173.0,71.2,23.8,5.5,67.6,44.2,323.1,8.3,18.1,34.6,Intermediate
35,Male,171.2,82.3,28.1,14.2,45.2,53.5,223.7,8.6,33.3,69.3,Advanced
33,Male,171.5,57.9,19.7,3.2,50.0,41.2,186.4,7.1,31.4,49.0,Intermediate
23,Female,160.4,86.4,33.6,5.2,81.3,42.3,264.7,8.3,35.5,22.6,Beginner
28,Male,155.2,69.2,28.7,12.7,60.7,50.3,289.7,7.2,39.9,53.6,Intermediate
24,Female,166.4,63.6,23.0,4.4,65.6,47.8,204.4,5.9,27.5,40.8,Intermediate
37,Male,169.0,50.1,17.5,5.8,80.0,45.7,237.3,4.0,23.7,37.3,Intermediate
39,Male,182.5,74.5,22.4,8.1,50.4,51.0,227.7,6.4,12.9,50.3,Intermediate
